Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Yulo Dr,villa - 1,villa - 4,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Jocson St,villa - 1,villa - 2,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,629.7,Active,3573.2,3548.6,-1476.11,Yes
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,3573.2,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,2162.3,CRITICAL CUT-EDGE,3573.2,DISCONNECTED,Dropped 4325 vol,N/A
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Locsin St,Molo - 3,Molo - 4,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,531.3,Active,3573.2,3571.77,-85.35,Yes
Locsin St,Molo - 4,Molo - 5,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Locsin St,Molo - 5,Molo - 6,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Timawa St,Molo - 5,Proper - 2,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Rotunda,Molo - 7,Molo - 8,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
San Marcos St,Molo - 8,Molo - 3,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Infante St 1,Proper - 1,Proper - 2,Two-Way,826.19,Active,3573.2,3620.46,2835.86,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,1680.47,Active,3573.2,3569.7,-210.07,Yes
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,2375.46,Active,3573.2,3670.83,5858.04,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,1386.14,Active,3573.2,3567.36,-350.41,Yes
Delgado St,Proper - 2,Proper - 10,Two-Way,397.95,Active,3573.2,3552.91,-1217.06,Yes
Infante St 3,Proper - 3,Proper - 4,One-Way,1386.14,Active,3573.2,3551.06,-1328.52,Yes
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,1386.14,Active,3573.2,3551.7,-1290.07,Yes
Rizal St 1,Proper - 5,Proper - 3,One-Way,2138.16,Active,3573.2,3560.42,-766.86,Yes
Rizal St 2,Proper - 5,Proper - 6,Two-Way,1386.14,Active,3573.2,3568.55,-279.04,Yes
Rizal St 3,Proper - 6,Proper - 14,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Ledesma St,Proper - 6,Proper - 11,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,2834.34,Active,3573.2,3579.5,378.06,No
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,415.58,Active,3573.2,3569.35,-231.11,Yes
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,2882.59,Active,3573.2,3626.92,3223.44,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,95.62,Active,3573.2,3552.75,-1226.72,Yes
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,1671.05,Active,3573.2,3662.96,5385.69,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,3378.68,Active,3573.2,3759.31,11166.89,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,493.58,Active,3573.2,3556.79,-984.32,Yes
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,1751.1,Active,3573.2,3602.06,1731.93,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,1873.05,Active,3573.2,3676.1,6174.05,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,3422.15,Active,3573.2,3972.48,23957.11,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,140.51,Active,3573.2,3593.14,1196.3,No
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,1732.55,Active,3573.2,3604.93,1904.1,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,140.51,Active,3573.2,3603.99,1847.79,No
Duran St,Proper - 15,Proper - 16,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,140.51,Active,3573.2,3603.99,1847.79,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,1410.77,Active,3573.2,3553.0,-1211.53,Yes
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,321.77,Active,3573.2,3549.74,-1407.31,Yes
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,140.51,Active,3573.2,3603.99,1847.79,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,Two-Way,1029.7,Active,3573.2,3606.12,1975.11,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
El 98 St (Rev),mandurriao - 1,jaro - 7,Two-Way,879.14,Active,3573.2,3685.76,6753.95,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,One-Way,664.6,Active,3573.2,3551.77,-1285.62,Yes
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,Two-Way,1659.4,CRITICAL CUT-EDGE,3573.2,DISCONNECTED,Dropped 3319 vol,N/A
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,One-Way,664.6,Active,3573.2,3549.13,-1444.05,Yes
Pakiad Rd,mandurriao - 4,mandurriao - 5,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,One-Way,664.6,Active,3573.2,3550.0,-1391.83,Yes
R Mapa St,mandurriao - 4,mandurriao - 6,Two-Way,475.5,Active,3573.2,3557.96,-914.08,Yes
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,Two-Way,55.8,Active,3573.2,3546.33,-1612.18,Yes
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
E Lopez St,jaro - 1,jaro - 4,Two-Way,302.96,Active,3573.2,3557.56,-938.08,Yes
Luna St (Rev),jaro - 1,lapaz - 3,Two-Way,255.14,Active,3573.2,3557.56,-938.08,Yes
Commission Civil St,jaro - 2,jaro - 5,Two-Way,552.84,Active,3573.2,3575.6,144.05,No
Burgos St (Rev),jaro - 2,lapaz - 7,Two-Way,661.27,Active,3573.2,3575.6,144.05,No
Jereos St,jaro - 3,jaro - 25,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Jereos St (Rev),jaro - 3,lapaz - 6,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,One-Way,1273.76,Active,3573.2,3569.4,-227.96,Yes
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,One-Way,1165.33,Active,3573.2,3607.55,2061.22,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,One-Way,1266.23,Active,3573.2,3724.89,9101.71,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,One-Way,890.04,Active,3573.2,3558.37,-889.86,Yes
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,One-Way,1225.94,Active,3573.2,3589.55,981.13,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,One-Way,878.9,Active,3573.2,3554.68,-1111.19,Yes
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,Two-Way,1434.31,Active,3573.2,3690.13,7016.22,No
Balabago Rd,jaro - 9,jaro - 10,Two-Way,1357.82,Active,3573.2,3700.09,7613.37,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,One-Way,1339.5,Active,3573.2,3736.04,9770.33,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,Two-Way,1357.82,Active,3573.2,3622.77,2974.66,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,Two-Way,1152.8,Active,3573.2,3554.24,-1137.55,Yes
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,Two-Way,1267.67,Active,3573.2,3921.15,20877.47,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,Two-Way,1459.27,Active,3573.2,3583.16,597.53,No
Buhang Flyover,jaro - 12,jaro - 13,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
