Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Yulo Dr,villa - 1,villa - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Jocson St,villa - 1,villa - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Jocson St (Rev),villa - 2,villa - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Circumferential Rd 1,villa - 2,villa - 3,629.7,Active,2661.0,2664.21,192.33,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,634.2,CRITICAL CUT-EDGE,2661.0,DISCONNECTED,Dropped 634 vol,N/A
Quezon St,villa - 3,villa - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Circumferential Rd 1 (Rev),villa - 3,villa - 2,629.7,Active,2661.0,2664.21,192.33,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,2162.3,Active,2661.0,2923.83,15769.56,No
Yulo Dr (Rev),villa - 4,villa - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Quezon St (Rev),villa - 4,villa - 3,0.0,Inactive,2661.0,2661.85,50.88,No
Molo Blvd (Rev),villa - 5,Molo - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Osmena St (Rev),villa - 6,villa - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Pakiad Rd (Rev),villa - 6,villa - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Pakiad Rd,villa - 7,villa - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Molo - Arevalo Connect,Molo - 3,villa - 3,2162.3,Active,2661.0,2927.62,15996.75,No
Locsin St,Molo - 3,Molo - 4,0.0,Inactive,2661.0,2661.85,50.88,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,545.9,Active,2661.0,2670.65,578.67,No
Locsin St (Rev),Molo - 4,Molo - 3,0.0,Inactive,2661.0,2661.85,50.88,No
Locsin St,Molo - 4,Molo - 5,0.0,Inactive,2661.0,2661.85,50.88,No
M.H Del Pilar,Molo - 4,Molo - 9,0.0,Inactive,2661.0,2661.85,50.88,No
Locsin St (Rev),Molo - 5,Molo - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Locsin St,Molo - 5,Molo - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Timawa St,Molo - 5,Proper - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Locsin St (Rev),Molo - 6,Molo - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Molo Blvd,Molo - 6,villa - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Molo Blvd 2,Molo - 6,Proper - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Rotunda,Molo - 7,Molo - 8,0.0,Inactive,2661.0,2661.85,50.88,No
San Marcos St,Molo - 8,Molo - 3,0.0,Inactive,2661.0,2661.85,50.88,No
M.H Del Pilar,Molo - 8,Molo - 9,0.0,Inactive,2661.0,2661.85,50.88,No
