From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
villa - 1,villa - 6,Osmena St,0.0,2200,0.0
villa - 1,villa - 4,Yulo Dr,0.0,2200,0.0
villa - 1,villa - 2,Jocson St,0.0,2200,0.0
villa - 2,villa - 1,Jocson St (Rev),0.0,2200,0.0
villa - 2,villa - 3,Circumferential Rd 1,629.7,2200,0.286
villa - 2,mandurriao - 8,Iloilo Circumferential Rd 1,634.2,2200,0.288
villa - 3,villa - 4,Quezon St,0.0,2200,0.0
villa - 3,villa - 2,Circumferential Rd 1 (Rev),629.7,2200,0.286
villa - 3,Molo - 3,Molo - Arevalo Connect (Rev),2162.3,2200,0.983
villa - 4,villa - 1,Yulo Dr (Rev),0.0,2200,0.0
villa - 4,villa - 3,Quezon St (Rev),0.0,2200,0.0
villa - 5,Molo - 6,Molo Blvd (Rev),0.0,2200,0.0
villa - 6,villa - 1,Osmena St (Rev),0.0,2200,0.0
villa - 6,villa - 7,Pakiad Rd (Rev),0.0,1100,0.0
villa - 7,villa - 6,Pakiad Rd,0.0,1100,0.0
Molo - 3,villa - 3,Molo - Arevalo Connect,2162.3,2200,0.983
Molo - 3,Molo - 4,Locsin St,0.0,2200,0.0
Molo - 3,mandurriao - 6,New Carpenter Bridge,531.3,1100,0.483
Molo - 4,Molo - 3,Locsin St (Rev),0.0,2200,0.0
Molo - 4,Molo - 5,Locsin St,0.0,2200,0.0
Molo - 4,Molo - 9,M.H Del Pilar,0.0,2200,0.0
Molo - 5,Molo - 4,Locsin St (Rev),0.0,2200,0.0
Molo - 5,Molo - 6,Locsin St,0.0,2200,0.0
Molo - 5,Proper - 2,Timawa St,0.0,2200,0.0
Molo - 6,Molo - 5,Locsin St (Rev),0.0,2200,0.0
Molo - 6,villa - 5,Molo Blvd,0.0,2200,0.0
Molo - 6,Proper - 4,Molo Blvd 2,0.0,2200,0.0
Molo - 7,Molo - 8,Rotunda,0.0,2200,0.0
Molo - 8,Molo - 3,San Marcos St,0.0,4400,0.0
Molo - 8,Molo - 9,M.H Del Pilar,0.0,1100,0.0
Molo - 9,Molo - 4,M.H Del Pilar (Rev),0.0,2200,0.0
Molo - 9,Molo - 10,M.H Del Pilar,0.0,4400,0.0
Molo - 10,Proper - 1,Molo - Proper Connect,0.0,2200,0.0
Molo - 10,Molo - 7,M.H Del Pilar,0.0,1100,0.0
Proper - 1,Molo - 7,Gen Luna - Molo Connect,0.0,4400,0.0
Proper - 1,Proper - 2,Infante St 1,826.19,2200,0.376
Proper - 1,Proper - 7,Gen Luna St 1,1680.47,2200,0.764
Proper - 1,mandurriao - 1,Old Iloilo - Capiz Rd (Rev),2375.46,2200,1.08
Proper - 2,Molo - 5,Timawa St (Rev),0.0,2200,0.0
Proper - 2,Proper - 1,Infante St 1 (Rev),877.38,2200,0.399
Proper - 2,Proper - 3,Infante St 2,1386.14,2200,0.63
Proper - 2,Proper - 10,Delgado St,397.95,2200,0.181
Proper - 3,Proper - 2,Infante St 2 (Rev),2138.16,2200,0.972
Proper - 3,Proper - 4,Infante St 3,1386.14,2200,0.63
Proper - 4,Molo - 6,Molo Blvd 2 (Rev),0.0,2200,0.0
Proper - 4,Proper - 5,Baluarte - Oton Blvd,1386.14,2200,0.63
Proper - 5,Proper - 3,Rizal St 1,2138.16,2200,0.972
Proper - 5,Proper - 6,Rizal St 2,1386.14,2200,0.63
Proper - 6,Proper - 5,Rizal St 2 (Rev),2138.16,2200,0.972
Proper - 6,Proper - 14,Rizal St 3,0.0,2200,0.0
Proper - 6,Proper - 11,Ledesma St,0.0,2200,0.0
Proper - 7,Proper - 1,Gen Luna St 1 (Rev),1180.26,2200,0.536
Proper - 7,Proper - 8,Gen Luna St 2,2834.34,2200,1.288
Proper - 7,lapaz - 10,Bonifacio Drive,415.58,2200,0.189
Proper - 8,Proper - 7,Gen Luna St 2 (Rev),2877.36,2200,1.308
Proper - 8,Proper - 9,Gen Luna St 3,2882.59,13200,0.218
Proper - 8,Proper - 10,Ruperto Montinola St 1,95.62,2200,0.043
Proper - 9,Proper - 8,Gen Luna St 3 (Rev),2927.67,13200,0.222
Proper - 9,Proper - 12,Muelle Loney St 1,1671.05,2200,0.76
Proper - 9,lapuz - 2,Quirino - Lopez Bridge,3378.68,2200,1.536
Proper - 10,Proper - 8,Ruperto Montinola St 1 (Rev),93.56,2200,0.043
Proper - 10,Proper - 11,Ruperto Montinola St 2,493.58,2200,0.224
Proper - 10,Proper - 2,Delgado St (Rev),133.47,2200,0.061
Proper - 11,Proper - 6,Ledesma St (Rev),0.0,2200,0.0
Proper - 11,Proper - 10,Ruperto Montinola St 2 (Rev),227.03,2200,0.103
Proper - 11,Proper - 12,Arroyo St (Rev),1751.1,1100,1.592
Proper - 11,Proper - 13,JM Basa St 1,1873.05,2200,0.851
Proper - 12,Proper - 11,Arroyo St,1838.72,1100,1.672
Proper - 12,Proper - 9,Muelle Loney St 1 (Rev),1568.35,2200,0.713
Proper - 12,Proper - 18,Muelle Loney St 2,3422.15,2200,1.556
Proper - 13,Proper - 11,JM Basa St 1 (Rev),1888.13,2200,0.858
Proper - 13,Proper - 14,JM Basa St 2,140.51,2200,0.064
Proper - 13,Proper - 17,Dela Rama St 1,1732.55,1100,1.575
Proper - 14,Proper - 6,Rizal St 3 (Rev),0.0,2200,0.0
Proper - 14,Proper - 13,JM Basa St 2 (Rev),140.51,2200,0.064
Proper - 14,Proper - 15,General Hughes St 1,140.51,2200,0.064
Proper - 15,Proper - 14,General Hughes St 1 (Rev),140.51,2200,0.064
Proper - 15,Proper - 16,Duran St,0.0,1100,0.0
Proper - 15,Proper - 22,General Hughes St 2,140.51,2200,0.064
Proper - 16,Proper - 15,Duran St (Rev),0.0,1100,0.0
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),1747.62,1100,1.589
Proper - 17,Proper - 20,Dela Rama St 2,0.0,1100,0.0
Proper - 17,Proper - 18,Blumentritt 1,1410.77,1100,1.283
Proper - 17,Proper - 19,Blumentritt 2,321.77,1100,0.293
Proper - 18,Proper - 17,Blumentritt 1 (Rev),1379.15,1100,1.254
Proper - 18,Proper - 12,Muelle Loney St 2 (Rev),3407.07,2200,1.549
Proper - 18,Proper - 19,Muelle Loney St 3,0.0,2200,0.0
