Origin Node,Origin Name,Destination Node,Destination Name,Critical Volume,Max PoA,Road Name,Closed Edge From,Closed Edge To,Baseline TSTT (hrs),New TSTT (hrs),Time Saved (mins)
villa - 1,Osmena St - Jocson St,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,4500.0,1.1049,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2292.48,2277.45,901.68
villa - 1,Osmena St - Jocson St,jaro - 12,Buhang Flyover,2500.0,1.0511,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,769.98,769.82,9.39
villa - 1,Osmena St - Jocson St,jaro - 13,Buhang Flyover,3000.0,1.0579,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1022.18,1014.17,480.55
villa - 1,Osmena St - Jocson St,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000.0,1.0624,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1000.7,994.7,360.11
villa - 1,Osmena St - Jocson St,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000.0,1.0539,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1093.77,1085.23,512.56
villa - 3,Jocson St - Quezon St,jaro - 12,Buhang Flyover,2500.0,1.055,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,691.35,690.41,56.86
villa - 3,Jocson St - Quezon St,jaro - 13,Buhang Flyover,3000.0,1.0607,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,924.63,917.22,444.57
villa - 3,Jocson St - Quezon St,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000.0,1.0655,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,903.01,897.72,317.08
villa - 3,Jocson St - Quezon St,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000.0,1.0539,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,994.17,988.82,321.16
villa - 4,Quezon St - Yulo Dr,Proper - 19,Muelle Loney St - Blumentritt Right,2500.0,1.0165,Blumentritt 1 (Rev),Proper - 18,Proper - 17,576.6,573.18,205.28
villa - 4,Quezon St - Yulo Dr,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,4500.0,1.1062,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2294.32,2279.15,910.06
villa - 4,Quezon St - Yulo Dr,jaro - 12,Buhang Flyover,2500.0,1.0527,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,770.68,770.61,4.02
villa - 4,Quezon St - Yulo Dr,jaro - 13,Buhang Flyover,3000.0,1.062,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1025.7,1016.29,564.45
villa - 4,Quezon St - Yulo Dr,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000.0,1.0663,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1003.85,997.38,388.14
villa - 4,Quezon St - Yulo Dr,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000.0,1.0554,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1094.81,1087.88,415.91
villa - 6,Osmena St - Pakiad St,jaro - 12,Buhang Flyover,4000.0,1.0109,Buhang Flyover (Rev),jaro - 13,jaro - 12,2166.61,2166.35,15.94
villa - 6,Osmena St - Pakiad St,jaro - 12,Buhang Flyover,4000.0,1.0109,Buhang Flyover - Iloilo-Capiz Rd (Rev),jaro - 14,jaro - 13,2166.61,2166.35,15.94
Molo - 3,Locsin St - San Marcos St.,Molo - 6,Locsin St. - Baluarte - Calumpag - Villa - Oton Blvd,7000.0,1.1238,M.H Del Pilar,Molo - 4,Molo - 9,1062.0,1060.33,100.29
Molo - 3,Locsin St - San Marcos St.,Molo - 6,Locsin St. - Baluarte - Calumpag - Villa - Oton Blvd,7000.0,1.1238,M.H Del Pilar,Molo - 9,Molo - 10,1062.0,1060.33,100.29
Molo - 3,Locsin St - San Marcos St.,Molo - 6,Locsin St. - Baluarte - Calumpag - Villa - Oton Blvd,7000.0,1.1238,Molo - Proper Connect,Molo - 10,Proper - 1,1062.0,1060.33,100.29
Molo - 3,Locsin St - San Marcos St.,Molo - 7,San Marcos St. - MH del Pilar St. 1 (Rotunda),6500.0,1.4721,Timawa St,Molo - 5,Proper - 2,806.45,791.33,907.03
Molo - 3,Locsin St - San Marcos St.,Proper - 1,Gen Luna St - Infante St,6500.0,1.3659,Timawa St,Molo - 5,Proper - 2,715.57,711.41,249.44
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,M.H Del Pilar,Molo - 4,Molo - 9,1010.16,1006.93,193.72
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,Timawa St,Molo - 5,Proper - 2,1010.16,1003.74,385.24
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,M.H Del Pilar,Molo - 9,Molo - 10,1010.16,1006.93,193.72
